iter	Passed	Remaining
991	56877	29126
992	56934	29069
993	56991	29011
994	57051	28955
995	57104	28896
996	57160	28838
997	57216	28780
998	57272	28722
999	57328	28664
1000	57384	28606
1001	57440	28548
1002	57499	28491
1003	57556	28434
1004	57611	28376
1005	57671	28319
1006	57727	28261
1007	57780	28202
1008	57838	28145
1009	57892	28086
1010	57949	28028
1011	58005	27971
1012	58064	27914
1013	58120	27856
1014	58173	27797
1015	58226	27737
1016	58278	27678
1017	58335	27620
1018	58389	27561
1019	58445	27503
1020	58502	27446
1021	58558	27388
1022	58614	27330
1023	58669	27272
1024	58725	27214
1025	58783	27157
1026	58838	27099
1027	58903	27045
1028	58959	26987
1029	59020	26931
1030	59074	26872
1031	59131	26815
1032	59186	26756
1033	59241	26698
1034	59293	26638
1035	59347	26580
1036	59406	26523
1037	59463	26466
1038	59533	26414
1039	59590	26357
1040	59646	26299
1041	59703	26242
1042	59757	26183
1043	59813	26125
1044	59869	26067
1045	59926	26010
1046	59979	25950
1047	60037	25894
1048	60093	25836
1049	60148	25777
1050	60207	25721
1051	60263	25663
1052	60320	25606
1053	60374	25547
1054	60432	25490
1055	60492	25434
1056	60548	25376
1057	60604	25318
1058	60659	25260
1059	60713	25201
1060	60769	25144
1061	60826	25086
1062	60889	25031
1063	60945	24974
1064	61002	24916
1065	61061	24859
1066	61115	24801
1067	61171	24743
1068	61228	24686
1069	61283	24627
1070	61339	24570
1071	61394	24511
1072	61453	24455
1073	61515	24399
1074	61573	24343
1075	61629	24285
1076	61686	24227
1077	61737	24168
1078	61795	24111
1079	61849	24052
1080	61905	23994
1081	61964	23938
1082	62022	23881
1083	62082	23824
1084	62136	23766
1085	62192	23708
1086	62244	23649
1087	62300	23591
1088	62354	23533
1089	62410	23475
1090	62472	23420
1091	62530	23363
1092	62590	23306
1093	62648	23249
1094	62707	23193
1095	62767	23137
1096	62824	23079
1097	62881	23022
1098	62937	22964
1099	62998	22908
1100	63075	22858
1101	63142	22804
1102	63214	22752
1103	63284	22699
1104	63353	22646
1105	63422	22593
1106	63495	22541
1107	63563	22488
1108	63635	22435
1109	63703	22382
1110	63759	22324
1111	63814	22266
1112	63870	22208
1113	63928	22151
1114	63983	22093
1115	64057	22041
1116	64128	21988
1117	64180	21929
1118	64237	21871
1119	64291	21813
1120	64346	21755
1121	64403	21697
1122	64462	21640
1123	64522	21583
1124	64576	21525
1125	64635	21468
1126	64690	21410
1127	64746	21352
1128	64802	21294
1129	64858	21236
1130	64913	21178
1131	64971	21121
1132	65029	21064
1133	65084	21005
1134	65141	20948
1135	65197	20890
